ID,x,y,impact.ssp126.2050,impact.ssp245.2050,impact.ssp370.2050,impact.ssp585.2050,impact.ssp126.2100,impact.ssp245.2100,impact.ssp370.2100,impact.ssp585.2100
CY130,48.58934,-13.321102,0.9036401599081785,0.9061378405628783,0.6677923349963725,0.9063335052299558,0.9061260373438279,0.9029144770559674,0.6717414851771506,0.895298944938624
CY131,48.83934,-13.321102,0.8413901250586677,0.9364226469862588,0.886175280345665,0.82086969127132,0.9351841432675736,0.9303504893486254,0.8446203496033183,0.778924988864941
CY132,49.08934,-13.321102,0.6111110717531185,0.70755875787362,0.598867531974703,0.4933409844378665,0.5889769028199959,0.4650674118847387,0.5333349785227429,0.45721136760249015
CY135,49.83934,-13.321102,0.46640583672812336,0.47301533379912664,0.4458369467532225,0.4523303472152579,0.4598215854924317,0.368861475963908,0.3802037333725367,0.3956667377669388
CY136,50.08934,-13.321102,0.6772588176257942,0.5097612901208165,0.5620564913065738,0.6154341475101263,0.6358145253193923,0.5369888167913388,0.5375908240854231,0.5511774234474485
CY97,40.33934,-13.321102,0.4561111660028059,0.38581513860138866,0.44750231595630946,0.44988143164532557,0.5315548136897864,0.4579777774723784,0.4511340854112231,0.45235393767944787
CY98,40.58934,-13.321102,0.5087866631987863,0.5115224094339413,0.5198664040415593,0.5376396068707457,0.5451956340823148,0.5381516962025416,0.49224934478515314,0.5752363724351282
CY99,40.83934,-13.321102,NA,NA,NA,NA,NA,NA,NA,NA
CZ126,47.58934,-13.571102,NA,NA,NA,NA,NA,NA,NA,NA
CZ127,47.83934,-13.571102,0.588785578951598,0.5610602214665512,0.46877369360250853,0.5584996814038379,0.5735666521236641,0.5348567704831737,0.48197960725870675,0.5403168814972396
CZ128,48.08934,-13.571102,0.6705175699339344,0.669727324688621,0.5802823398804362,0.6506459726955083,0.6516199102379592,0.6260679740091081,0.6223806916465123,0.6323754233834331
CZ129,48.33934,-13.571102,0.8806620757378513,0.8830951750262578,0.5654750234492689,0.884495989440713,0.8832580040084431,0.8780591444954425,0.6603568116237211,0.7383051193192615
CZ130,48.58934,-13.571102,0.7492901071358524,0.7066692951884784,0.5916366838760868,0.6938495972241476,0.7184091569264847,0.5107413904336726,0.4520110697154767,0.47236643887235774
CZ131,48.83934,-13.571102,0.5247804660172773,0.5569741146347618,0.526725272866877,0.4690763726147848,0.5204274621723161,0.5074828987583172,0.4985692123153615,0.42800016340018
CZ132,49.08934,-13.571102,0.5204351254875407,0.5159993965154083,0.5293367942691284,0.4695918400629309,0.52031747201382,0.8239511212943351,0.5017354610247162,0.4403311258844392
CZ135,49.83934,-13.571102,0.5147670066710638,0.6897651347096374,0.5873237968888773,0.5128955855554734,0.5283635022797418,0.705942545656157,0.5091809951839352,0.48965531686553343
CZ136,50.08934,-13.571102,0.5844072941785938,0.5328656345402456,0.5294739698934483,0.5642641797125816,0.5721297037787371,0.556681178329407,0.5590509281828279,0.5429460587919165
CZ97,40.33934,-13.571102,0.4561608416775178,0.39479671061346494,0.44412838692818224,0.4493129816608133,0.5282252710333512,0.439224437132048,0.4447699946337846,0.45351290694347524
CZ98,40.58934,-13.571102,0.6733059283376822,0.7028326759856935,0.6438026372831689,0.7673455771142512,0.7150519950816703,0.6782879834521431,0.6121062082180525,0.691272514253431
CZ99,40.83934,-13.571102,NA,NA,NA,NA,NA,NA,NA,NA
D108,43.08934,11.428898,0.47257486943135096,0.49031221740175407,0.518853941096838,0.49609859170201437,0.4583170911535605,0.4743268448626838,0.512024896427202,0.46790588137029654
D109,43.33934,11.428898,0.5710315750118299,0.5924040548437964,0.6163371853725961,0.5922767107581809,0.5443444221512836,0.5781828543721832,0.6069245574305272,0.5672997926168415
D110,43.58934,11.428898,0.3998717465086106,0.42310832053989667,0.4675887909451318,0.43117975501723893,0.38487026181881395,0.40581334487175624,0.4537899836271498,0.41427379052525254
D111,43.83934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D124,47.08934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
