"ISO3","Villages","Sensitivity","AdaptiveCapacity","imp.ssp245.2050","imp.ssp370.2050","imp.ssp585.2050","risk245","risk370","risk585","TEV","ld_ssp245","ld_ssp370","ld_ssp585"
"MOZ","Cumbane",0.466328474,0.424102395,0.4468179555943743,0.488978573952002,0.5122934739256791,0.2423121141227549,0.26517607569603063,0.2778198887578113,2243058.0714076324,1699537.9280247397,1648252.7344734496,1619891.9275318533
"MOZ","Farol",0.527390275,0.492508496,0.4380414882850053,0.47302194117684127,0.4996597174946813,0.21662781989640062,0.23392695582668682,0.24710032767603818,2473883.9578331034,1937971.8693710389,1895175.81450873,1862586.4212200493
"MOZ","Gazene",0.569040764,0.488698321,0.4292849418970121,0.4654869209062757,0.4905297721073887,0.2790631364401716,0.302596777669288,0.3188762599420757,2326868.195795855,1677525.0589941803,1622765.3776868796,1584885.1681423073
"TZA","Kwale",0.6114883,0.482412765,0.6461597979470802,0.7338609599179049,0.762522253994624,0.3816411803443052,0.4334400930566894,0.450368305143524,4763903.086466751,2945801.4895017017,2699036.4893555525,2618392.1275467174
"TZA","Kangagani",0.614658186,0.49559337999999997,0.6709185692087217,0.7695724219290995,0.8094155731851901,0.36914332681106776,0.4234232544614231,0.44534518967131925,4758647.898627896,3002024.782205898,2743725.71855486,2639406.947634431
"TZA","Boma Subutuni",0.62490868,0.458607076,0.626103352253482,0.7078561948082231,0.7384332013296697,0.4578751494741137,0.5176617563816758,0.5400230029411897,4848919.818263177,2628719.9316879325,2338819.4685871447,2230391.5769836484
"TZA","Mtambwe",0.655118358,0.468497928,0.6715412551672728,0.7685913088190612,0.7975303341586455,0.526597614427925,0.6027006480686562,0.6253935527717314,5076361.523461299,2403161.655232872,2016835.1434403833,1901637.7551501184
"TZA","Mjini Kiuyu",0.571422902,0.401929956,0.6709185692087217,0.7695724219290995,0.8094155731851901,0.5493030484496435,0.6300741949458838,0.6626950903112081,4758647.898627896,2144708.1014131024,1760346.6548690028,1605115.2996874417
"TZA","Gando",0.578398966,0.413111102,0.6715412551672728,0.7685913088190612,0.7975303341586455,0.5283539895006278,0.6047108516198434,0.6274794445734074,5076361.523461299,2394245.660393037,2006630.6234788112,1891049.0142659866
"TZA","Selemu",0.542647489,0.489296244,0.6709185692087217,0.7695724219290995,0.8094155731851901,0.2388666232713457,0.2739902787394271,0.2881756053018688,4758647.898627896,3621965.7437453656,3454824.6344600497,3387321.660022336
"TZA","Mwandusi",0.615137053,0.471212645,0.626103352253482,0.7078561948082231,0.7384332013296697,0.40488574027338914,0.4577533060803667,0.4775267091075524,4848919.818263177,2885661.3281193827,2629310.740534597,2533431.094721571
"TZA","Moa",0.595702398,0.455832128,0.626103352253482,0.7078561948082231,0.7384332013296697,0.40619396920041895,0.4592323557402868,0.47906964873753793,4848919.818263177,2879317.830948283,2622138.9473264143,2525949.5041713505
"TZA","Ndumbani",0.558204659,0.471325833,0.626103352253482,0.7078561948082231,0.7384332013296697,0.292673810573882,0.3308894116717272,0.3451827212065899,4848919.818263177,3429767.9778848775,3244463.5923546962,3175156.4804825303
