ID,Lat,Long,Country,Villages,Livelihood,Demography,Cultural,Health,Learning,Assets,Flexibility,Agency,Organisation,Sensitivity,AdaptiveCapacity,imp.ssp126.2050,imp.ssp126.2100,imp.ssp245.2050,imp.ssp245.2100,imp.ssp370.2050,imp.ssp370.2100,imp.ssp585.2050,imp.ssp585.2100
BR92,-5.0711021,39.08933994,Tanzania,Kwale,0.40651269,0.117611614,0.040156303,0.047207693,0.076841926,0.069144183,0.101282734,0.065647979,0.169495943,0.6114883,0.482412765,0.24146942756642578,0.23248956925560568,0.23282613068974653,0.23889791499143628,0.24095618713088715,0.24758097413190389,0.24564698074119495,0.24007743381522512
BR94,-5.0711021,39.58933994,Tanzania,Mtambwe,0.424471592,0.134969418,0.045877452,0.049799895,0.071485588,0.057928906,0.110655815,0.06662902,0.161798599,0.655118358,0.468497928,0.24399687202943243,0.23504192809435273,0.2355554218214565,0.24128629401088483,0.24381983249054923,0.25062136586929296,0.248397240327266,0.2440677474375027
BR94,-5.0711021,39.58933994,Tanzania,Gando,0.346379648,0.134142161,0.054650912,0.043226244,0.042675208,0.03749056,0.119252658,0.073334345,0.140358332,0.578398966,0.413111102,0.24399687202943243,0.23504192809435273,0.2355554218214565,0.24128629401088483,0.24381983249054923,0.25062136586929296,0.248397240327266,0.2440677474375027
BR95,-5.0711021,39.83933994,Tanzania,Kangagani,0.381770161,0.134420226,0.044142243,0.054325556,0.077639323,0.06064554,0.132361547,0.070402771,0.154544198,0.614658186,0.49559337999999997,0.24449417015621158,0.23393501731300595,0.236795908704529,0.2413635865839266,0.24504678018448564,0.25163930203381135,0.24904789154732443,0.24504837615026115
BR95,-5.0711021,39.83933994,Tanzania,Mjini Kiuyu,0.339634462,0.136453842,0.047057633,0.048276964,0.040738543,0.037418702,0.11590246,0.065550155,0.142320095,0.571422902,0.401929956,0.24449417015621158,0.23393501731300595,0.236795908704529,0.2413635865839266,0.24504678018448564,0.25163930203381135,0.24904789154732443,0.24504837615026115
BR95,-5.0711021,39.83933994,Tanzania,Selemu,0.317631488,0.130273484,0.045777302,0.048965216,0.060017365,0.091581229,0.116724177,0.068517089,0.152456384,0.542647489,0.489296244,0.24449417015621158,0.23393501731300595,0.236795908704529,0.2413635865839266,0.24504678018448564,0.25163930203381135,0.24904789154732443,0.24504837615026115
DC127,-14.3211021,47.83933994,Madagascar,Lagnamena,0.24254889600000001,0.088995129,0.102133573,0.10638401,0.127769371,0.038268376,0.079988938,0.077629459,0.135391926,0.540061607,0.459048069,0.2111603385398232,0.21456677992358503,0.219065796066342,0.2247959220784415,0.21846734484449346,0.23228453067371344,0.22460868277257984,0.2198704852771525
DC128,-14.3211021,48.08933994,Madagascar,Maromanjo,0.271846106,0.080758409,0.132731484,0.100164707,0.123627904,0.0190092,0.076628386,0.074027343,0.148985256,0.585500706,0.442278089,0.20985139341726905,0.2123811623615352,0.2173941281229128,0.2231509986531086,0.21634313382597642,0.23028816468804003,0.22270389895754295,0.21726207775208953
DH123,-15.5711021,46.83933994,Madagascar,Andranoboka,0.258582628,0.089101478,0.104789704,0.115633227,0.118997556,0.064270712,0.073546201,0.075702269,0.120892767,0.568107036,0.453409504,0.21339829342952749,0.21289152612342208,0.22227077289661762,0.22589387854590104,0.21939303762599383,0.23256651422274552,0.22475080890977306,0.22276434389025948
DH124,-15.5711021,47.08933994,Madagascar,Besakoa,0.263315011,0.072745856,0.123164047,0.101701651,0.134632763,0.085837867,0.071686739,0.057668272,0.122045137,0.560926564,0.471870778,0.21357157128767223,0.21227348448780198,0.22197343796428287,0.22683684463273235,0.21938945338093693,0.23282886112422566,0.22515992334056759,0.22274655398570287
