HH_ID,Sensitivity,Adaptation capacity,Subsistence,Demography,Culture,Health,Learning,Assets,Flexibility,Agency,Organization
KIM68,0.6798072,0.363046664,0.11968,0.0257792,0.181424,0.352924,0.083071458,0.030388884,0.009879333,0.126528571,0.113178417
KIM88,0.340916567,0.488995305,0.1425875,0.056017067,0.066236,0.076076,0.089109819,0.032442879,0.094607667,0.146017857,0.126817083
KIM49,0.633968186,0.419092237,0.1425875,0.051475886,0.2116768,0.228228,0.088828264,0.042465683,0.054056,0.111471429,0.122270861
KIM26,0.468100967,0.426717005,0.107556167,0.0597968,0.148596,0.152152,0.085457139,0.038604862,0.058033833,0.170182143,0.074439028
KIM73,0.3776556,0.392425523,0.11968,0.0228836,0.08294,0.152152,0.101742111,0.045088884,0.020029333,0.096475,0.129090194
KIM29,0.574982767,0.339624101,0.129061167,0.0493544,0.1683392,0.228228,0.047869472,0.032442879,0.013514,0.1258,0.11999775
KIM48,0.498875133,0.378969271,0.158488733,0.0329536,0.0792048,0.228228,0.055519236,0.030712868,0.0295655,0.14705,0.116121667
KIM21,0.450526233,0.390152081,0.157086233,0.0557992,0.1615648,0.076076,0.068679444,0.032442879,0.035810167,0.142314286,0.110905306
KIM50,0.5331853,0.371001539,0.0900405,0.053352,0.1615648,0.228228,0.074189889,0.036380516,0.0160515,0.146442857,0.097936778
KIM23,0.474741233,0.40415469,0.107556167,0.056017067,0.08294,0.228228,0.066540125,0.038604862,0.040542,0.145289286,0.113178417
KIM24,0.546902767,0.397018151,0.157086233,0.042691733,0.1949728,0.152152,0.072050569,0.032442879,0.023393333,0.142314286,0.126817083
KIM85,0.533181186,0.272364641,0.1640925,0.057920686,0.08294,0.228228,0.077314653,0.036380516,0.040542,0.093075,0.025052472
KIM118,0.530666733,0.323669586,0.134178733,0.0128896,0.1553704,0.228228,0.107252556,0.019299793,0,0.101453571,0.095663667
KIM45,0.602238386,0.459099207,0.1210825,0.124101486,0.2049024,0.152152,0.083810542,0.057069011,0.078493333,0.119728571,0.11999775
MAN11,0.6263572,0.326276134,0.088638,0.0257792,0.08294,0.429,0.038080389,0.029200868,0.027028,0.100603571,0.131363306
MAN14,0.481618578,0.355045264,0.123669333,0.050426844,0.1553704,0.152152,0.032569944,0.039792879,0.012416833,0.150267857,0.11999775
MAN112,0.5614262,0.328559186,0.067133,0.0264328,0.1392464,0.328614,0.099356431,0.021353787,0,0.103092857,0.104756111
MAN66,0.448756767,0.442463232,0.1640925,0.049572267,0.08294,0.152152,0.088581903,0.034496873,0.086105833,0.124646429,0.108632194
MAN113,0.7179026,0.366467404,0.067133,0.0861688,0.2116768,0.352924,0.057243764,0.0363037,0.009879333,0.143042857,0.11999775
MAN111,0.517437,0.350285367,0.067133,0.01444,0.08294,0.352924,0.059875806,0.0363037,0.009879333,0.128775,0.115451528
MAN82,0.543635267,0.393002619,0.169484333,0.046278933,0.099644,0.228228,0.099602792,0.032442879,0.0419195,0.108132143,0.110905306
MAN16,0.412178233,0.319582099,0.125071833,0.0229216,0.1120328,0.152152,0.036848583,0.030388884,0.012416833,0.113110714,0.126817083
MAN119,0.5101987,0.341368532,0.1425875,0.0762128,0.1392464,0.152152,0.062261486,0.038297614,0.009879333,0.115478571,0.115451528
