ID,sea_level_245_2050,sea_level_370_2050,sea_level_585_2050,TC,tc_245_2050,tc_370_2050,tc_585_2050
DK93,0.3905582158854038,0.4951087816672656,0.6140051160380785,3,0.2795134776411615,0.2795134776411615,0.2795134776411615
DK94,0.400552490752749,0.5038383488929916,0.6270130865073873,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DK95,0.4089299474663984,0.5139528564088831,0.6429841704221364,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DK96,0.4163628972852591,0.5230790989595501,0.6622093699981403,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DK97,0.4223034458014119,0.5307867038384516,0.6789615290860982,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DL112,0.3393301011210328,0.47880354963717564,0.5842401399137978,10,0.5599618624569637,0.5599618624569637,0.5599618624569637
DL113,0.3170171346197968,0.47187699413603396,0.5785040842275466,10,0.5599618624569637,0.5599618624569637,0.5599618624569637
DL114,0.29860140116442835,0.4662817868427049,0.5738444482920912,10,0.5599618624569637,0.5599618624569637,0.5599618624569637
DL115,0.27950696560639143,0.4610145805980038,0.5667367444576572,10,0.5599618624569637,0.5599618624569637,0.5599618624569637
DL134,0.2839628597556865,0.45339073079021763,0.553246751592651,6,0.41273128322567415,0.41273128322567415,0.41273128322567415
DL135,0.30651698694224605,0.45809865454390297,0.5587202290906312,6,0.41273128322567415,0.41273128322567415,0.41273128322567415
DL136,0.32848803319229114,0.4623689441510746,0.5633920852473747,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DL137,0.34838660720490583,0.4688317934390965,0.5709774160427741,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DL92,0.3917651214219022,0.4977714841469,0.6192570127523238,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DL93,0.40161043212025327,0.5062542150401507,0.6350156562794221,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DL94,0.4091639780505857,0.5145753922112317,0.6477908493438099,11,0.615661472936478,0.615661472936478,0.615661472936478
DL95,0.41507938849613973,0.5224510594436593,0.6625976125155839,11,0.615661472936478,0.615661472936478,0.615661472936478
DL96,0.42090681946984,0.529389977024488,0.6762696170877958,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DM106,0.40633686902368255,0.527490472847351,0.6308557886877079,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DM107,0.3985828119764253,0.5198185278344912,0.6182469766001343,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DM112,0.3254860412367588,0.4743404525117956,0.5812417008639023,10,0.5599618624569637,0.5599618624569637,0.5599618624569637
DM113,0.30455675936150484,0.468004328719278,0.5752907119814574,10,0.5599618624569637,0.5599618624569637,0.5599618624569637
DM114,0.28576928476785407,0.46288387095746863,0.5695561246273504,10,0.5599618624569637,0.5599618624569637,0.5599618624569637
DM133,0.2527420324848281,0.4484909876197696,0.5487861720568245,3,0.2795134776411615,0.2795134776411615,0.2795134776411615
DM134,0.28070330414349,0.4526005884918692,0.5528449467112448,6,0.41273128322567415,0.41273128322567415,0.41273128322567415
