ID,TC,tc_245_2050,tc_370_2050,tc_585_2050
CY117,5,0.372084908,0.372084908,0.372084908
CY127,10,0.559961862,0.559961862,0.559961862
CY128,4,0.323185981,0.323185981,0.323185981
CY129,4,0.323185981,0.323185981,0.323185981
CY130,3,0.279513478,0.279513478,0.279513478
CY131,3,0.279513478,0.279513478,0.279513478
CY132,3,0.279513478,0.279513478,0.279513478
CY135,1,0.207377029,0.207377029,0.207377029
CY136,3,0.279513478,0.279513478,0.279513478
CY97,1,0.207377029,0.207377029,0.207377029
CY98,0,0,0,0
CY99,0,0,0,0
CZ126,4,0.323185981,0.323185981,0.323185981
CZ127,4,0.323185981,0.323185981,0.323185981
CZ128,4,0.323185981,0.323185981,0.323185981
CZ129,4,0.323185981,0.323185981,0.323185981
CZ130,0,0,0,0
CZ131,0,0,0,0
CZ132,0,0,0,0
CZ135,1,0.207377029,0.207377029,0.207377029
CZ136,7,0.446717755,0.446717755,0.446717755
CZ97,1,0.207377029,0.207377029,0.207377029
CZ98,1,0.207377029,0.207377029,0.207377029
CZ99,1,0.207377029,0.207377029,0.207377029
D108,0,0,0,0
D109,0,0,0,0
D110,0,0,0,0
D111,0,0,0,0
D124,0,0,0,0
D125,0,0,0,0
D126,0,0,0,0
D127,0,0,0,0
D130,0,0,0,0
D131,0,0,0,0
D132,0,0,0,0
D133,0,0,0,0
D134,0,0,0,0
D135,0,0,0,0
D136,0,0,0,0
D137,0,0,0,0
D138,0,0,0,0
D139,0,0,0,0
D140,0,0,0,0
D141,0,0,0,0
DA126,4,0.323185981,0.323185981,0.323185981
DA127,4,0.323185981,0.323185981,0.323185981
DA128,4,0.323185981,0.323185981,0.323185981
DA129,4,0.323185981,0.323185981,0.323185981
DA130,0,0,0,0
DA97,1,0.207377029,0.207377029,0.207377029
DA98,1,0.207377029,0.207377029,0.207377029
DA99,1,0.207377029,0.207377029,0.207377029
DB126,3,0.279513478,0.279513478,0.279513478
DB127,3,0.279513478,0.279513478,0.279513478
DB128,3,0.279513478,0.279513478,0.279513478
DB129,3,0.279513478,0.279513478,0.279513478
DB130,3,0.279513478,0.279513478,0.279513478
DB97,0,0,0,0
DB98,0,0,0,0
DB99,0,0,0,0
DC100,0,0,0,0
DC126,3,0.279513478,0.279513478,0.279513478
DC127,3,0.279513478,0.279513478,0.279513478
DC128,3,0.279513478,0.279513478,0.279513478
DC129,3,0.279513478,0.279513478,0.279513478
DC97,0,0,0,0
DC98,0,0,0,0
DC99,0,0,0,0
DD100,4,0.323185981,0.323185981,0.323185981
DD124,8,0.485455727,0.485455727,0.485455727
DD125,8,0.485455727,0.485455727,0.485455727
DD126,2,0.243709779,0.243709779,0.243709779
DD127,2,0.243709779,0.243709779,0.243709779
DD128,2,0.243709779,0.243709779,0.243709779
DD129,2,0.243709779,0.243709779,0.243709779
DD136,9,0.524818318,0.524818318,0.524818318
DD137,9,0.524818318,0.524818318,0.524818318
DD97,1,0.207377029,0.207377029,0.207377029
DD98,1,0.207377029,0.207377029,0.207377029
DD99,1,0.207377029,0.207377029,0.207377029
DE100,4,0.323185981,0.323185981,0.323185981
DE123,7,0.446717755,0.446717755,0.446717755
DE124,8,0.485455727,0.485455727,0.485455727
DE125,8,0.485455727,0.485455727,0.485455727
DE126,2,0.243709779,0.243709779,0.243709779
DE127,2,0.243709779,0.243709779,0.243709779
DE128,2,0.243709779,0.243709779,0.243709779
DE129,2,0.243709779,0.243709779,0.243709779
DE136,9,0.524818318,0.524818318,0.524818318
DE137,9,0.524818318,0.524818318,0.524818318
DE97,1,0.207377029,0.207377029,0.207377029
DE98,1,0.207377029,0.207377029,0.207377029
DE99,1,0.207377029,0.207377029,0.207377029
DF100,11,0.615661473,0.615661473,0.615661473
DF122,8,0.485455727,0.485455727,0.485455727
DF123,8,0.485455727,0.485455727,0.485455727
DF124,5,0.372084908,0.372084908,0.372084908
DF125,5,0.372084908,0.372084908,0.372084908
DF126,3,0.279513478,0.279513478,0.279513478
DF127,3,0.279513478,0.279513478,0.279513478
DF128,4,0.323185981,0.323185981,0.323185981
DF135,8,0.485455727,0.485455727,0.485455727
DF136,6,0.412731283,0.412731283,0.412731283
DF137,6,0.412731283,0.412731283,0.412731283
DF97,3,0.279513478,0.279513478,0.279513478
DF98,5,0.372084908,0.372084908,0.372084908
DF99,5,0.372084908,0.372084908,0.372084908
DG121,12,0.66177566,0.66177566,0.66177566
DG122,8,0.485455727,0.485455727,0.485455727
DG123,8,0.485455727,0.485455727,0.485455727
DG124,5,0.372084908,0.372084908,0.372084908
DG125,5,0.372084908,0.372084908,0.372084908
DG126,3,0.279513478,0.279513478,0.279513478
DG134,8,0.485455727,0.485455727,0.485455727
DG135,8,0.485455727,0.485455727,0.485455727
DG136,6,0.412731283,0.412731283,0.412731283
DG97,3,0.279513478,0.279513478,0.279513478
DG98,5,0.372084908,0.372084908,0.372084908
DG99,5,0.372084908,0.372084908,0.372084908
DH117,10,0.559961862,0.559961862,0.559961862
DH118,6,0.412731283,0.412731283,0.412731283
DH119,6,0.412731283,0.412731283,0.412731283
DH120,6,0.412731283,0.412731283,0.412731283
DH121,6,0.412731283,0.412731283,0.412731283
DH122,7,0.446717755,0.446717755,0.446717755
DH123,7,0.446717755,0.446717755,0.446717755
DH124,2,0.243709779,0.243709779,0.243709779
DH125,2,0.243709779,0.243709779,0.243709779
DH126,3,0.279513478,0.279513478,0.279513478
DH134,11,0.615661473,0.615661473,0.615661473
DH135,11,0.615661473,0.615661473,0.615661473
DH136,9,0.524818318,0.524818318,0.524818318
DH137,9,0.524818318,0.524818318,0.524818318
DH138,10,0.559961862,0.559961862,0.559961862
DH153,14,0.706519155,0.706519155,0.706519155
DH154,13,0.67866837,0.67866837,0.67866837
DH96,5,0.372084908,0.372084908,0.372084908
DH97,5,0.372084908,0.372084908,0.372084908
DH98,7,0.446717755,0.446717755,0.446717755
DH99,7,0.446717755,0.446717755,0.446717755
DI115,13,0.67866837,0.67866837,0.67866837
DI116,10,0.559961862,0.559961862,0.559961862
DI117,10,0.559961862,0.559961862,0.559961862
DI118,6,0.412731283,0.412731283,0.412731283
DI119,6,0.412731283,0.412731283,0.412731283
DI120,6,0.412731283,0.412731283,0.412731283
