ID,CoralExt,seagrassExt,mangroveExt,Cropland,Nb_sp,FRic,FDiv,FEve,FDis,FSpe,FOri,std_corals,std_seagrass,std_mangrove,std_cropcover,std_Nb_sp,std_FRic,std_FDiv,std_FEve,evspsbl_245_2050,evspsbl_370_2050,evspsbl_585_2050,npp_245_2050,npp_370_2050,npp_585_2050,pH_trend_245_2050,pH_trend_370_2050,pH_trend_585_2050,tap_trend_245_2050,tap_trend_370_2050,tap_trend_585_2050,sst_trend_245_2050,sst_trend_370_2050,sst_trend_585_2050,ts_trend_245_2050,ts_trend_370_2050,ts_trend_585_2050,cdd_245_2050,cdd_370_2050,cdd_585_2050,r10p_245_2050,r10p_370_2050,r10p_585_2050,sst90p_245_2050,sst90p_370_2050,sst90p_585_2050,ts90p_245_2050,ts90p_370_2050,ts90p_585_2050,sea_level_245_2050,sea_level_370_2050,sea_level_585_2050,TC,tc_245_2050,tc_370_2050,tc_585_2050,hzd.mn.ssp245.2050,hzd.mn.ssp370.2050,hzd.mn.ssp585.2050,exp.mn.wioo,hzd.sd.ssp245.2050,hzd.sd.ssp370.2050,hzd.sd.ssp585.2050,exp.sd.wioo,wgts.Exp,wgts.ssp245.2050,wgts.ssp370.2050,wgts.ssp585.2050,imp.ssp245.2050,imp.ssp370.2050,imp.ssp585.2050
AC128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3876616244986749,0.40842210529095824,0.5352805988822047,0.5724753751567064,0.4934069159324111,0.7616068758448595,NA,NA,NA,0.6728279573616787,0.6499210906937389,0.7781593104920729,NA,NA,NA,0.47522260764001173,0.5867460759989517,0.7002514848501068,0.6713535636575728,0.6752270027126857,0.6755304599586633,0.35847061861265767,0.32580066312818723,0.2861095473892336,NA,NA,NA,0.39617300418053863,0.4115662684687015,0.43072718804026555,0.30774307278970015,0.4822444636544215,0.6122345344100905,0,0,0,0,0.426880869321949,0.4481482873200062,0.5310999999852775,NA,0.20837878007597205,0.20415052323958202,0.25554026801942864,NA,NA,0.456485246285104,0.45183019292603943,0.5055099089230879,NA,NA,NA
AC129,NA,NA,NA,NA,169,0.904154,0.865388,0.632409,0.685595,0.631242,0.151104,NA,NA,NA,NA,0.41295318451493723,0.904154,0.865388,0.632409,0.397223386236426,0.40369712680394176,0.7184556348724729,0.5455089200171741,0.48214360286235663,0.7429346379576984,NA,NA,NA,0.680500515483045,0.6577954868498314,0.8038935672713002,NA,NA,NA,0.45770838511818795,0.5688484247440122,0.6929555607205531,0.6631478765173077,0.667889203202035,0.6693202961003154,0.34594164177313114,0.30409976433958175,0.24695961002229389,NA,NA,NA,0.38785347769479883,0.39330402656645236,0.3952500885230706,0.326926441735706,0.4905833694242284,0.62720759086748,0,0,0,0,0.4227567382861974,0.4409290005324933,0.5441085540372427,0.7037260461287344,0.20499601337044024,0.2048977059789846,0.2712623930984597,0.2279919078550098,0.4774849818109569,0.452764854389605,0.45265627796263314,0.5208285640193514,0.5725909241085636,0.5836584344593106,0.6158500900146321
AC130,NA,NA,NA,NA,170,0.904154,0.866033,0.629339,0.685958,0.631163,0.150215,NA,NA,NA,NA,0.41640718917953234,0.904154,0.866033,0.629339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44209666677789833,0.5511758357303156,0.6860296435166069,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3725976352654254,0.3762533457980357,0.38000412160925606,0.3446792837321135,0.5,0.6445286469970011,0,0,0,0,0.2898433964438593,0.3568572953820878,0.427640603030716,0.7039832972948831,0.19752256526546452,0.24897982853205422,0.31567443122170036,0.22700969542121316,0.4764553446244602,0.44443510804780545,0.49897878565331233,0.5618491178436612,0.48790672760431686,0.5059115077033608,0.5249190008736496
AC131,NA,NA,NA,NA,168,0.89926,0.86423,0.630164,0.687728,0.63181,0.148863,NA,NA,NA,NA,0.40797781321869236,0.89926,0.86423,0.630164,NA,NA,NA,NA,NA,NA,NA,0.49537944999135647,NA,NA,NA,NA,0.3369621159334304,0.3898350943889394,0.5637818435049631,0.42543351016794584,0.5367302952106637,0.6814167541377165,NA,NA,NA,NA,NA,NA,0.37480330747796514,0.40559890626786194,0.40559890626786194,0.33817750996654217,0.3707336167086198,0.38348192903066175,0.3588659967864551,0.5099752005500424,0.6646917933403522,0,0,0,0,0.3057070733887231,0.3868932233024977,0.4498285377135926,0.7004079533046731,0.15324659997656995,0.18242607586166681,0.25356992038840837,0.2286404741546152,0.47816364788073884,0.39146723997873684,0.42711365684284414,0.5035572662452686,0.5303547498457112,0.5622209690179018,0.5640814277366625
AD127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4690438003431356,0.4513778898194056,0.5959492155959122,0.6293341218498401,0.5549219509722905,0.7486841132307641,NA,NA,NA,0.667605048869711,0.6446044386232492,0.7689882239358975,NA,NA,NA,0.4774233727084882,0.582585855956454,0.6985579551926236,0.6728279573616787,0.676752482833309,0.6758347307668042,0.35847061861265767,0.2584698916766746,0.27461817651101456,NA,NA,NA,0.4091639780505857,0.41838575116705423,0.4280228969980545,0.304736701086041,0.479868497937624,0.6072073632937546,0,0,0,0,0.4431783998757931,0.4518851954428957,0.5330958528360917,NA,0.21316294153191712,0.21181374017482216,0.255284372823421,NA,NA,0.46169572396971265,0.46023226763757247,0.5052567395131122,NA,NA,NA
AD128,NA,NA,NA,NA,171,0.905502,0.864845,0.633888,0.687192,0.633533,0.150413,NA,NA,NA,NA,0.42150376748244595,0.905502,0.864845,0.633888,0.3912819947537367,0.4125374476806022,0.6850406629470094,0.6634216887016688,0.547285076701867,0.8218436253561043,NA,NA,NA,0.6722359439134872,0.6546901725141786,0.7958585885500885,NA,NA,NA,0.4641688018535487,0.5749283261825181,0.693836327274265,0.6636961172994879,0.6687457766816804,0.6684595626379918,0.34594164177313114,0.2928984860887585,0.31903583227317633,NA,NA,NA,0.3882050414857945,0.39575411271079985,0.408147820700165,0.32224377323207476,0.4879129924109212,0.6216718790999447,0,0,0,0,0.43457722255699216,0.4483058212190362,0.5570993665376384,0.7064346918706115,0.2166736818716237,0.2084939333580127,0.2664471515695809,0.22447737307027382,0.4737904315942586,0.4654822036035574,0.45661135920825785,0.5161851911567987,0.5754642880490982,0.5880261904266112,0.6271132407437902
AD129,NA,NA,NA,NA,170,0.905502,0.865063,0.632409,0.686511,0.63247,0.151104,NA,NA,NA,NA,0.41640718917953234,0.905502,0.865063,0.632409,0.404227387420719,0.39464702345719554,0.7909910746067723,0.6280590867132163,0.5232421332728918,0.7875552095023963,NA,NA,NA,0.6853723473345258,0.662874676957598,0.8320932413183133,NA,NA,NA,0.44975537884733163,0.5589247947270104,0.6888400203427983,0.6544347651018604,0.6599088651759429,0.6607106915168866,0.3544630000264088,0.31903583227317633,0.31903583227317633,NA,NA,NA,0.37356882104753014,0.39012501362923657,0.3927072526201915,0.34147524274439284,0.49770957495653256,0.6398441018405409,0,0,0,0,0.43237289213733165,0.44516310160550937,0.5679752693356751,0.7048452972948831,0.2113776766146295,0.20462545151544312,0.2764436212599727,0.22684530997984093,0.4762828046233046,0.45975828063736873,0.4523554481991381,0.5257790612605001,0.5757482184123487,0.5870234074926335,0.6287547057251524
AD130,NA,NA,NA,NA,169,0.904154,0.865388,0.632409,0.685595,0.631242,0.151104,NA,NA,NA,NA,0.41295318451493723,0.904154,0.865388,0.632409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.436469357265181,0.5393084720035797,0.6832991151886658,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3652931446657916,0.3715215092576043,0.3865281460769595,0.3569061425794578,0.5067500038998556,0.6583998392459011,0,0,0,0,0.2896671611276076,0.3543949962902599,0.4320567751278816,0.7037260461287344,0.196382551023372,0.24718021272349344,0.3178573102880777,0.2279919078550098,0.4774849818109569,0.4431507091536377,0.49717221636319686,0.5637883559351662,0.4882899656646341,0.5048417519305067,0.5268168785593413
AE127,NA,NA,NA,180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10346337146518775,NA,NA,NA,NA,0.4479407823854391,0.4470391284813959,0.669608610681546,0.5998734855764961,0.528661937268902,0.7117384684622654,NA,NA,NA,0.6687457766816804,0.6506626803728698,0.7771882092241166,NA,NA,NA,0.46500222889012216,0.5700526750947664,0.6933068613314345,0.6650776415719342,0.6701873729466536,0.6670387689490457,0.35847061861265767,0.2928984860887585,0.30409976433958175,NA,NA,NA,0.39583797274981447,0.3938986830131686,0.4171143111184743,0.3204303294273828,0.4868559903135543,0.6189808753289473,0,0,0,0,0.43570875954394744,0.4489174392866743,0.5398973188261569,NA,0.20783430060064148,0.20646826707014826,0.25268069775616436,NA,NA,0.45588847386245845,0.45438779370725646,0.5026735498871652,NA,NA,NA
AE128,NA,NA,NA,NA,173.5,0.905502,0.8636125,0.630856,0.6916065,0.635888,0.149539,NA,NA,NA,NA,0.4335751706606051,0.905502,0.8636125,0.630856,0.3992238749297647,0.4182438494541773,0.8114338534331089,0.6170200665828094,0.512778126118143,0.741104807376349,NA,NA,NA,0.6734230271100738,0.6588477243102758,0.8147164529035364,NA,NA,NA,0.45293001400915434,0.5618723956019399,0.6886723872310564,0.6557169063630596,0.6601755663419494,0.6591121666404473,0.35847061861265767,0.31903583227317633,0.32580066312818723,NA,NA,NA,0.3769167145527987,0.3811110577869841,0.4030651944730917,0.34009191146531337,0.4957900806596409,0.6363621984664101,0,0,0,0,0.43042145929173686,0.44531718139403187,0.5644741915169097,0.7083864176651513,0.20843719257700083,0.20357823794379648,0.2706490099101435,0.2194552927741459,0.46846055626290023,0.4565492225127547,0.451196451608162,0.5202393775082231,0.5790446567086559,0.5906611543257122,0.631906732808269
