src,nbr,src_x,src_y,nbr_x,nbr_y,EucDist
DI123,BF100,4583735.819523033,-1946648.0331493157,4116421.103968294,-256059.28990770542,1753987.839795149
ET70,BF100,3166536.246336458,-3061784.023094869,4116421.103968294,-256059.28990770542,2962156.734741839
EW66,BF100,3060416.50042287,-3150977.3855284094,4116421.103968294,-256059.28990770542,3081508.8030153885
EX67,BF100,3079833.897776967,-3180661.2325394778,4116421.103968294,-256059.28990770542,3102871.1798727764
BF100,BF101,4116421.103968294,-256059.28990770542,4141466.6578159924,-256059.28990770527,25045.553847698495
BF101,BF101,4141466.6578159924,-256059.28990770527,4141466.6578159924,-256059.28990770527,0
BG99,BF101,4090953.2652706616,-286961.7381616283,4141466.6578159924,-256059.28990770527,59216.24890623411
BK95,BF101,3988664.5459936955,-410548.3365296979,4141466.6578159924,-256059.28990770527,217290.9360823086
BK96,BF101,4013694.231175273,-410548.33652969793,4141466.6578159924,-256059.28990770527,200481.06777406734
BO94,BF101,3960785.341904585,-534086.9912775034,4141466.6578159924,-256059.28990770527,331579.7651372163
BP93,BF101,3934949.91904119,-564962.4706218361,4141466.6578159924,-256059.28990770527,371578.17273016326
BQ92,BF101,3909078.9103666004,-595833.8245278371,4141466.6578159924,-256059.28990770527,411644.02041196905
BR92,BF101,3908168.297188433,-626700.8270671035,4141466.6578159924,-256059.28990770527,437953.5068239417
BR94,BF101,3958158.5030009835,-626700.8270671034,4141466.6578159924,-256059.28990770527,413493.6863962553
BR95,BF101,3983153.6059072586,-626700.8270671035,4141466.6578159924,-256059.28990770527,403036.1912688971
DC127,BF101,4702040.822193813,-1763649.9654936127,4141466.6578159924,-256059.28990770527,1608438.0743073276
DC128,BF101,4726612.862842023,-1763649.9654936127,4141466.6578159924,-256059.28990770527,1617165.9551109585
DH123,BF101,4587211.427598146,-1916182.9581291282,4141466.6578159924,-256059.28990770527,1718923.7893452689
DH124,BF101,4611695.181178133,-1916182.9581291277,4141466.6578159924,-256059.28990770527,1725434.8605416233
DH125,BF101,4636178.93475812,-1916182.958129128,4141466.6578159924,-256059.28990770527,1732267.5401756556
DI123,BF101,4583735.819523033,-1946648.0331493157,4141466.6578159924,-256059.28990770527,1747481.7052468092
ET70,BF101,3166536.246336458,-3061784.023094869,4141466.6578159924,-256059.28990770527,2970282.9134016572
EW66,BF101,3060416.50042287,-3150977.3855284094,4141466.6578159924,-256059.28990770527,3090181.260565778
EX67,BF101,3079833.897776967,-3180661.2325394778,4141466.6578159924,-256059.28990770527,3111327.79372949
BF100,BF102,4116421.103968294,-256059.28990770542,4166512.211663693,-256059.28990770542,50091.10769539932
BF101,BF102,4141466.6578159924,-256059.28990770527,4166512.211663693,-256059.28990770542,25045.553847700823
BG99,BF102,4090953.2652706616,-286961.7381616283,4166512.211663693,-256059.28990770542,81634.03510859553
BK95,BF102,3988664.5459936955,-410548.3365296979,4166512.211663693,-256059.28990770542,235577.2860664615
BK96,BF102,4013694.231175273,-410548.33652969793,4166512.211663693,-256059.28990770542,217302.09544947167
BO94,BF102,3960785.341904585,-534086.9912775034,4166512.211663693,-256059.28990770542,345865.5051748508
BP93,BF102,3934949.91904119,-564962.4706218361,4166512.211663693,-256059.28990770542,386059.9311245558
BQ92,BF102,3909078.9103666004,-595833.8245278371,4166512.211663693,-256059.28990770542,426284.6924216806
BR92,BF102,3908168.297188433,-626700.8270671035,4166512.211663693,-256059.28990770542,451792.7923443247
BR94,BF102,3958158.5030009835,-626700.8270671034,4166512.211663693,-256059.28990770542,425189.85992305446
BR95,BF102,3983153.6059072586,-626700.8270671035,4166512.211663693,-256059.28990770542,413516.05455269216
DC127,BF102,4702040.822193813,-1763649.9654936127,4166512.211663693,-256059.28990770542,1599881.4136709922
DC128,BF102,4726612.862842023,-1763649.9654936127,4166512.211663693,-256059.28990770542,1608273.106336098
DH123,BF102,4587211.427598146,-1916182.9581291282,4166512.211663693,-256059.28990770542,1712599.9019259622
DH124,BF102,4611695.181178133,-1916182.9581291277,4166512.211663693,-256059.28990770542,1718778.1910807006
DH125,BF102,4636178.93475812,-1916182.958129128,4166512.211663693,-256059.28990770542,1725281.839170403
DI123,BF102,4583735.819523033,-1946648.0331493157,4166512.211663693,-256059.28990770542,1741311.5280530395
ET70,BF102,3166536.246336458,-3061784.023094869,4166512.211663693,-256059.28990770542,2978597.5239448375
EW66,BF102,3060416.50042287,-3150977.3855284094,4166512.211663693,-256059.28990770542,3099031.865402088
EX67,BF102,3079833.897776967,-3180661.2325394778,4166512.211663693,-256059.28990770542,3119962.5447619134
BF100,BG96,4116421.103968294,-256059.28990770542,4015824.3588391263,-286961.73816162813,105236.2410896031
BF101,BG96,4141466.6578159924,-256059.28990770527,4015824.3588391263,-286961.73816162813,129386.81772220298
BG99,BG96,4090953.2652706616,-286961.7381616283,4015824.3588391263,-286961.73816162813,75128.90643153526
BK95,BG96,3988664.5459936955,-410548.3365296979,4015824.3588391263,-286961.73816162813,126535.77648234276
BK96,BG96,4013694.231175273,-410548.33652969793,4015824.3588391263,-286961.73816162813,123604.95435076584
BO94,BG96,3960785.341904585,-534086.9912775034,4015824.3588391263,-286961.73816162813,253180.14162391605
BP93,BG96,3934949.91904119,-564962.4706218361,4015824.3588391263,-286961.73816162813,289525.61589787214
BQ92,BG96,3909078.9103666004,-595833.8245278371,4015824.3588391263,-286961.73816162813,326797.424264353
BR92,BG96,3908168.297188433,-626700.8270671035,4015824.3588391263,-286961.73816162813,356388.09764140606
BR94,BG96,3958158.5030009835,-626700.8270671034,4015824.3588391263,-286961.73816162813,344598.31610132375
BR95,BG96,3983153.6059072586,-626700.8270671035,4015824.3588391263,-286961.73816162813,341306.35304291896
DC127,BG96,4702040.822193813,-1763649.9654936127,4015824.3588391263,-286961.73816162813,1628343.0705228837
DC128,BG96,4726612.862842023,-1763649.9654936127,4015824.3588391263,-286961.73816162813,1638849.7240941755
DH123,BG96,4587211.427598146,-1916182.9581291282,4015824.3588391263,-286961.73816162813,1726512.3706297078
DH124,BG96,4611695.181178133,-1916182.9581291277,4015824.3588391263,-286961.73816162813,1734769.0971732668
DH125,BG96,4636178.93475812,-1916182.958129128,4015824.3588391263,-286961.73816162813,1743330.6007341302
DI123,BG96,4583735.819523033,-1946648.0331493157,4015824.3588391263,-286961.73816162813,1754161.3451863788
ET70,BG96,3166536.246336458,-3061784.023094869,4015824.3588391263,-286961.73816162813,2901883.700460871
EW66,BG96,3060416.50042287,-3150977.3855284094,4015824.3588391263,-286961.73816162813,3019170.3834472974
EX67,BG96,3079833.897776967,-3180661.2325394778,4015824.3588391263,-286961.73816162813,3041311.3794812225
BF100,BG97,4116421.103968294,-256059.28990770542,4040867.3276496376,-286961.73816162837,81629.24980725924
BF101,BG97,4141466.6578159924,-256059.28990770527,4040867.3276496376,-286961.73816162837,105238.71216432503
BG99,BG97,4090953.2652706616,-286961.7381616283,4040867.3276496376,-286961.73816162837,50085.93762102397
BK95,BG97,3988664.5459936955,-410548.3365296979,4040867.3276496376,-286961.73816162837,134159.52336233342
BK96,BG97,4013694.231175273,-410548.33652969793,4040867.3276496376,-286961.73816162837,126538.62836381486
BO94,BG97,3960785.341904585,-534086.9912775034,4040867.3276496376,-286961.73816162837,259776.8564912128
BP93,BG97,3934949.91904119,-564962.4706218361,4040867.3276496376,-286961.73816162837,297494.37758509134
BQ92,BG97,3909078.9103666004,-595833.8245278371,4040867.3276496376,-286961.73816162837,335812.6749635616
BR92,BG97,3908168.297188433,-626700.8270671035,4040867.3276496376,-286961.73816162837,364735.08360955084
BR94,BG97,3958158.5030009835,-626700.8270671034,4040867.3276496376,-286961.73816162837,349661.8340698396
BR95,BG97,3983153.6059072586,-626700.8270671035,4040867.3276496376,-286961.73816162837,344606.3293203987
DC127,BG97,4702040.822193813,-1763649.9654936127,4040867.3276496376,-286961.73816162837,1617948.8590893825
DC128,BG97,4726612.862842023,-1763649.9654936127,4040867.3276496376,-286961.73816162837,1628144.6679509687
DH123,BG97,4587211.427598146,-1916182.9581291282,4040867.3276496376,-286961.73816162837,1718386.9352217894
DH124,BG97,4611695.181178133,-1916182.9581291277,4040867.3276496376,-286961.73816162837,1726327.3797157758
DH125,BG97,4636178.93475812,-1916182.958129128,4040867.3276496376,-286961.73816162837,1734577.0934583659
DI123,BG97,4583735.819523033,-1946648.0331493157,4040867.3276496376,-286961.73816162837,1746214.4190330268
ET70,BG97,3166536.246336458,-3061784.023094869,4040867.3276496376,-286961.73816162837,2909311.525552464
EW66,BG97,3060416.50042287,-3150977.3855284094,4040867.3276496376,-286961.73816162837,3027188.3742131763
EX67,BG97,3079833.897776967,-3180661.2325394778,4040867.3276496376,-286961.73816162837,3049111.676717574
BF100,BG98,4116421.103968294,-256059.28990770542,4065910.2964601493,-286961.7381616281,59214.04380053095
BF101,BG98,4141466.6578159924,-256059.28990770527,4065910.2964601493,-286961.7381616281,81631.64245206087
BG99,BG98,4090953.2652706616,-286961.7381616283,4065910.2964601493,-286961.7381616281,25042.96881051222
BK95,BG98,3988664.5459936955,-410548.3365296979,4065910.2964601493,-286961.7381616281,145741.39172286043
BK96,BG98,4013694.231175273,-410548.33652969793,4065910.2964601493,-286961.7381616281,134164.69271020993
BO94,BG98,3960785.341904585,-534086.9912775034,4065910.2964601493,-286961.7381616281,268555.66796829103
BP93,BG98,3934949.91904119,-564962.4706218361,4065910.2964601493,-286961.7381616281,307302.8273578499
BQ92,BG98,3909078.9103666004,-595833.8245278371,4065910.2964601493,-286961.7381616281,346407.34605409094
BR92,BG98,3908168.297188433,-626700.8270671035,4065910.2964601493,-286961.7381616281,374573.33976747555
BR94,BG98,3958158.5030009835,-626700.8270671034,4065910.2964601493,-286961.7381616281,356417.02754496614
BR95,BG98,3983153.6059072586,-626700.8270671035,4065910.2964601493,-286961.7381616281,349673.15933824464
DC127,BG98,4702040.822193813,-1763649.9654936127,4065910.2964601493,-286961.7381616281,1607877.5346745364
DC128,BG98,4726612.862842023,-1763649.9654936127,4065910.2964601493,-286961.7381616281,1617756.471773324
DH123,BG98,4587211.427598146,-1916182.9581291282,4065910.2964601493,-286961.7381616281,1710589.5629630573
DH124,BG98,4611695.181178133,-1916182.9581291277,4065910.2964601493,-286961.7381616281,1718209.2200832267
DH125,BG98,4636178.93475812,-1916182.958129128,4065910.2964601493,-286961.7381616281,1726142.5501442836
DI123,BG98,4583735.819523033,-1946648.0331493157,4065910.2964601493,-286961.7381616281,1738591.9216726236
ET70,BG98,3166536.246336458,-3061784.023094869,4065910.2964601493,-286961.7381616281,2916935.4458057564
EW66,BG98,3060416.50042287,-3150977.3855284094,4065910.2964601493,-286961.7381616281,3035391.803743171
EX67,BG98,3079833.897776967,-3180661.2325394778,4065910.2964601493,-286961.7381616281,3057097.2224976127
BF100,BG99,4116421.103968294,-256059.28990770542,4090953.2652706616,-286961.7381616283,40044.626556068666
BF101,BG99,4141466.6578159924,-256059.28990770527,4090953.2652706616,-286961.7381616283,59216.24890623411
BG99,BG99,4090953.2652706616,-286961.7381616283,4090953.2652706616,-286961.7381616283,0
BK95,BG99,3988664.5459936955,-410548.3365296979,4090953.2652706616,-286961.7381616283,160426.39866154356
BK96,BG99,4013694.231175273,-410548.33652969793,4090953.2652706616,-286961.7381616283,145748.43273786147
BO94,BG99,3960785.341904585,-534086.9912775034,4090953.2652706616,-286961.7381616283,279310.9002545769
BP93,BG99,3934949.91904119,-564962.4706218361,4090953.2652706616,-286961.7381616283,318781.1965646727
BQ92,BG99,3909078.9103666004,-595833.8245278371,4090953.2652706616,-286961.7381616283,358441.4132155813
BR92,BG99,3908168.297188433,-626700.8270671035,4090953.2652706616,-286961.7381616283,385788.7933664529
BR94,BG99,3958158.5030009835,-626700.8270671034,4090953.2652706616,-286961.7381616283,364769.92394738714
BR95,BG99,3983153.6059072586,-626700.8270671035,4090953.2652706616,-286961.7381616283,356431.5012582194
DC127,BG99,4702040.822193813,-1763649.9654936127,4090953.2652706616,-286961.7381616283,1598135.201717046
DC128,BG99,4726612.862842023,-1763649.9654936127,4090953.2652706616,-286961.7381616283,1607691.2778035041
DH123,BG99,4587211.427598146,-1916182.9581291282,4090953.2652706616,-286961.7381616283,1703124.7597486922
DH124,BG99,4611695.181178133,-1916182.9581291277,4090953.2652706616,-286961.7381616283,1710419.2253875572
DH125,BG99,4636178.93475812,-1916182.958129128,4090953.2652706616,-286961.7381616283,1718031.6685848474
DI123,BG99,4583735.819523033,-1946648.0331493157,4090953.2652706616,-286961.7381616283,1731298.1382608393
ET70,BG99,3166536.246336458,-3061784.023094869,4090953.2652706616,-286961.7381616283,2924753.9277445776
EW66,BG99,3060416.50042287,-3150977.3855284094,4090953.2652706616,-286961.7381616283,3043779.1726839705
EX67,BG99,3079833.897776967,-3180661.2325394778,4090953.2652706616,-286961.7381616283,3065266.5690088803
BF100,BG100,4116421.103968294,-256059.28990770542,4115996.2340811733,-286961.7381616282,30905.36882982238
BF101,BG100,4141466.6578159924,-256059.28990770527,4115996.2340811733,-286961.7381616282,40046.2706543021
BG99,BG100,4090953.2652706616,-286961.7381616283,4115996.2340811733,-286961.7381616282,25042.968810511753
BK95,BG100,3988664.5459936955,-410548.3365296979,4115996.2340811733,-286961.7381616282,177445.78351540872
BK96,BG100,4013694.231175273,-410548.33652969793,4115996.2340811733,-286961.7381616282,160434.86869988512
BO94,BG100,3960785.341904585,-534086.9912775034,4115996.2340811733,-286961.7381616282,291824.1110289518
BP93,BG100,3934949.91904119,-564962.4706218361,4115996.2340811733,-286961.7381616282,331756.1987935855
BQ92,BG100,3909078.9103666004,-595833.8245278371,4115996.2340811733,-286961.7381616282,371775.126372672
BR92,BG100,3908168.297188433,-626700.8270671035,4115996.2340811733,-286961.7381616282,398265.1125612377
BR94,BG100,3958158.5030009835,-626700.8270671034,4115996.2340811733,-286961.7381616282,374613.6648373424
BR95,BG100,3983153.6059072586,-626700.8270671035,4115996.2340811733,-286961.7381616282,364787.35228962556
DC127,BG100,4702040.822193813,-1763649.9654936127,4115996.2340811733,-286961.7381616282,1588727.9125127096
DC128,BG100,4726612.862842023,-1763649.9654936127,4115996.2340811733,-286961.7381616282,1597955.18962834
DH123,BG100,4587211.427598146,-1916182.9581291282,4115996.2340811733,-286961.7381616282,1695996.9169174887
DH124,BG100,4611695.181178133,-1916182.9581291277,4115996.2340811733,-286961.7381616282,1702961.8990880044
DH125,BG100,4636178.93475812,-1916182.958129128,4115996.2340811733,-286961.7381616282,1710249.053698306
DI123,BG100,4583735.819523033,-1946648.0331493157,4115996.2340811733,-286961.7381616282,1724337.2400894437
ET70,BG100,3166536.246336458,-3061784.023094869,4115996.2340811733,-286961.7381616282,2932765.4153188467
EW66,BG100,3060416.50042287,-3150977.3855284094,4115996.2340811733,-286961.7381616282,3052348.964727313
EX67,BG100,3079833.897776967,-3180661.2325394778,4115996.2340811733,-286961.7381616282,3073618.250684039
BF100,BG101,4116421.103968294,-256059.28990770542,4141039.202891684,-286961.73816162837,39509.645691757534
BF101,BG101,4141466.6578159924,-256059.28990770527,4141039.202891684,-286961.73816162837,30905.404475572064
BG99,BG101,4090953.2652706616,-286961.7381616283,4141039.202891684,-286961.73816162837,50085.937621022575
BK95,BG101,3988664.5459936955,-410548.3365296979,4141039.202891684,-286961.73816162837,196192.9748002468
BK96,BG101,4013694.231175273,-410548.33652969793,4141039.202891684,-286961.73816162837,177455.3158337164
BO94,BG101,3960785.341904585,-534086.9912775034,4141039.202891684,-286961.73816162837,305879.6252259079
BP93,BG101,3934949.91904119,-564962.4706218361,4141039.202891684,-286961.73816162837,346059.53269115655
BQ92,BG101,3909078.9103666004,-595833.8245278371,4141039.202891684,-286961.73816162837,386273.922294189
BR92,BG101,3908168.297188433,-626700.8270671035,4141039.202891684,-286961.73816162837,411887.736225995
BR94,BG101,3958158.5030009835,-626700.8270671034,4141039.202891684,-286961.73816162837,385834.15987031884
BR95,BG101,3983153.6059072586,-626700.8270671035,4141039.202891684,-286961.73816162837,374633.8349181114
DC127,BG101,4702040.822193813,-1763649.9654936127,4141039.202891684,-286961.73816162837,1579661.65288662
DC128,BG101,4726612.862842023,-1763649.9654936127,4141039.202891684,-286961.73816162837,1588554.2584276162
DH123,BG101,4587211.427598146,-1916182.9581291282,4141039.202891684,-286961.73816162837,1689210.30001948
DH124,BG101,4611695.181178133,-1916182.9581291277,4141039.202891684,-286961.73816162837,1695841.62983728
DH125,BG101,4636178.93475812,-1916182.958129128,4141039.202891684,-286961.73816162837,1702799.2065023854
DI123,BG101,4583735.819523033,-1946648.0331493157,4141039.202891684,-286961.73816162837,1717713.2741371011
ET70,BG101,3166536.246336458,-3061784.023094869,4141039.202891684,-286961.73816162837,2940968.3312298707
EW66,BG101,3060416.50042287,-3150977.3855284094,4141039.202891684,-286961.73816162837,3061099.647749606
EX67,BG101,3079833.897776967,-3180661.2325394778,4141039.202891684,-286961.73816162837,3082150.7853066246
BF100,BH95,4116421.103968294,-256059.28990770542,3990322.5417333147,-317862.09257020254,140429.46206073876
BF101,BH95,4141466.6578159924,-256059.28990770527,3990322.5417333147,-317862.09257020254,163291.54982225352
BG99,BH95,4090953.2652706616,-286961.7381616283,3990322.5417333147,-317862.09257020254,105268.10733657853
